ProjectID,Entity Type,ID,Name,Description,Start Date,Planned Start Date,End Date,Planned End Date,Time Spent,Time Remain,Create Date,Modify Date,Last Comment Date,Last State Change Date,Effort,Effort Completed,Effort To Do,Role Efforts,Progress,Initial Estimate,Project,Feature,Release,Sprint,Team Sprint,Assigned Teams,Team State,Last Commented User,Tags,Numeric Priority,Last Editor,Owner,Linked Test Plan,Units,Priority,Entity State,Assignments
190,UserStory,259,Defintion Schnittstellen,"",2016-11-09 09:27:03,"",2016-11-09 09:27:03,"",0.0000,0.0000,2016-10-14 09:48:37,2017-01-27 04:50:09,"",2016-11-09 09:27:03,10.0000,10.0000,0.0000,"(Developer) 10.0000, (QA Engineer) 0.0000",1.0000,0.0000,PAWI,Lösungsdesign,#2 Evaluation,Sprint 2.1,"","","","","",224,Andreas Waldis,Andreas Waldis,"",pt,Nice To Have,Done,""
190,UserStory,263,Grobauswahl,"Das Projektteam erhält einen Überblick über den aktuellen Stand der Technik. Es sollen eine Auswahl von vier möglichen Frameworks getroffen werden.
",2016-11-09 09:26:40,"",2016-11-09 09:26:40,"",0.0000,0.0000,2016-10-14 12:56:43,2017-01-27 04:50:45,"",2016-11-09 09:26:40,20.0000,20.0000,0.0000,"(Developer) 20.0000, (QA Engineer) 0.0000",1.0000,0.0000,PAWI,"",#2 Evaluation,Sprint 2.1,"","","","","",225,Andreas Waldis,Andreas Waldis,"",pt,Must Have,Done,""
190,UserStory,264,Detail Beurteilung zwei Frameworks,"Detail Beurteilung zweier Frameworks anhand des Standard Szenario.
",2016-11-09 09:27:22,"",2016-11-09 09:27:22,"",0.0000,0.0000,2016-10-14 12:58:19,2017-01-27 04:53:21,"",2016-11-09 09:27:22,4.0000,4.0000,0.0000,"(Developer) 4.0000, (QA Engineer) 0.0000",1.0000,0.0000,PAWI,"",#2 Evaluation,Sprint 2.3,"","","","","",226,Andreas Waldis,Andreas Waldis,"",pt,Must Have,Done,""
190,UserStory,266,Detail Beurteilung zwei Frameworks,"Detail Beurteilung zweier Frameworks anhand des Standard Szenario.
",2016-11-09 09:27:15,"",2016-11-09 09:27:15,"",0.0000,0.0000,2016-10-14 13:21:36,2017-01-27 04:53:24,2016-10-14 13:21:36,2016-11-09 09:27:15,4.0000,4.0000,0.0000,"(Developer) 4.0000, (QA Engineer) 0.0000",1.0000,0.0000,PAWI,"",#2 Evaluation,Sprint 2.2,"","","",Andreas Waldis,"",227,Andreas Waldis,Andreas Waldis,"",pt,Must Have,Done,""
190,UserStory,267,Definition Standard Szenario,"Definition des Standard Szenario zur genaueren Beurteilung der viert möglichen Frameworks.
",2016-11-09 09:26:30,"",2016-11-09 09:26:30,"",0.0000,0.0000,2016-10-14 13:22:07,2017-01-27 04:51:07,"",2016-11-09 09:26:30,4.0000,4.0000,0.0000,"(Developer) 4.0000, (QA Engineer) 0.0000",1.0000,0.0000,PAWI,Lösungsdesign,#2 Evaluation,Sprint 2.1,"","","","","",228,Andreas Waldis,Andreas Waldis,"",pt,Nice To Have,Done,""
190,UserStory,268,Mook Up erstellen,"",2016-11-09 09:27:33,"",2016-11-09 09:27:33,"",0.0000,0.0000,2016-10-14 13:30:35,2017-01-27 04:51:37,"",2016-11-09 09:27:33,10.0000,10.0000,0.0000,"(Developer) 10.0000, (QA Engineer) 0.0000",1.0000,0.0000,PAWI,"",#2 Evaluation,Sprint 2.3,"","","","","",229,Andreas Waldis,Andreas Waldis,"",pt,Nice To Have,Done,""
190,UserStory,269,Basic Setup,"Anbindung des Interface Module via NPM
Setup des Projects mit Typescript und React
Setup des Projekts in Gitlab
",2016-11-16 09:48:32,"",2016-11-16 09:48:32,"",0.0000,0.0000,2016-11-09 09:37:39,2017-01-27 04:51:21,"",2016-11-16 09:48:32,3.0000,3.0000,0.0000,"(Developer) 3.0000, (QA Engineer) 0.0000",1.0000,0.0000,PAWI,"",#3 Entwicklung,Sprint 3.1,"","","","","",230,Andreas Waldis,Andreas Waldis,"",pt,Nice To Have,Done,""
190,UserStory,272,DragAndDrop,"Der Benutzer kann einen Node z.b. aus der Suche von ausserhalb in die Visualisierung ziehen. Wird der Node an einer freien Position losgelassen wird dieser der Visualisierung an dieser Stelle hinzugefügt. Wird er jedoch über einem bestehenden Node losgelassen, wir ein neuer Link zu diesem erstellt und den neue Node in seiner Umgebung platziert.
Diese soll sowohl im Mobile als auch auf dem Desktop möglich sein.
Der entsprechende Node wird immer zusammen mit all seinen Kindern angezeigt. Sind es mehr als sieben, werden nur sieben angezeigt und der über das Kontext Menu zugänglich gemacht.
",2017-01-27 05:01:21,2016-09-24 00:00:00,2017-01-27 05:01:21,2016-09-29 23:59:59,0.0000,0.0000,2017-01-27 04:20:44,2017-01-27 05:01:22,"",2017-01-27 05:01:21,20.0000,20.0000,0.0000,"(Developer) 20.0000, (QA Engineer) 0.0000",1.0000,0.0000,PAWI,"",#3 Entwicklung,Sprint 3.4,"","","","","",231,Andreas Waldis,Andreas Waldis,"",pt,Nice To Have,Done,""
190,UserStory,273,PositionUpdate,"Ein Node in der Visualisierung kann per DragAndDrop positioniert werden. Diese Position muss gespeichert werden.
",2017-01-27 05:01:25,2016-09-24 00:00:00,2017-01-27 05:01:25,2016-09-29 23:59:59,0.0000,0.0000,2017-01-27 04:25:01,2017-01-27 05:01:25,"",2017-01-27 05:01:25,4.0000,4.0000,0.0000,"(Developer) 4.0000, (QA Engineer) 0.0000",1.0000,0.0000,PAWI,"",#3 Entwicklung,Sprint 3.1,"","","","","",232,Andreas Waldis,Andreas Waldis,"",pt,Nice To Have,Done,""
190,UserStory,275,NewLink,"Werden zwei Nodes in der Visualisierung aufeinander gezogen sollen zwei unbeschriftete Links enstehen, je in eine Richtung.
",2017-01-27 05:01:27,2016-09-26 00:00:00,2017-01-27 05:01:27,2016-09-30 23:59:59,0.0000,0.0000,2017-01-27 04:26:11,2017-01-27 05:01:27,"",2017-01-27 05:01:27,4.0000,4.0000,0.0000,"(Developer) 4.0000, (QA Engineer) 0.0000",1.0000,0.0000,PAWI,"",#3 Entwicklung,Sprint 3.2,"","","","","",233,Andreas Waldis,Andreas Waldis,"",pt,Nice To Have,Done,""
